StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status
bll.27.22-32,benthic,NA,NA,39,0,NA,NA,NA,NA,NA,NA,NA,GREY
cod.27.22-24,demersal,1.43846153846154,5312,3546,157,0.26,0.374,2019,2018,0.663238251965624,14509,21876,RED
cod.27.24-32,demersal,NA,NA,15907,3103,NA,0.21,2019,2019,NA,66412,NA,GREY
dab.27.22-32,benthic,NA,2363,1356,1007,NA,NA,2017,2016,NA,101,NA,GREY
fle.27.2223,benthic,NA,982,809,173,NA,NA,NA,NA,NA,NA,NA,GREY
fle.27.2425,benthic,NA,19107,12788,6318,NA,NA,NA,NA,NA,NA,NA,GREY
fle.27.2628,benthic,NA,4442,4252,191,NA,NA,NA,NA,NA,NA,NA,GREY
fle.27.2729-32,benthic,NA,NA,173,NA,NA,NA,NA,NA,NA,NA,NA,GREY
her.27.20-24,pelagic,1.34193548387097,41058,41058,NA,0.31,0.416,2019,2018,0.494213333333333,74132,150000,RED
her.27.25-2932,pelagic,1.3,244365,244365,NA,0.22,0.286,2019,2018,1.56380166666667,938281,6e+05,RED
her.27.28,pelagic,0.79375,NA,25747,NA,0.32,0.254,2019,2018,1.83636666666667,110182,60000,GREEN
her.27.3031,pelagic,NA,97366,97366,NA,NA,1.744,NA,NA,NA,NA,NA,GREY
ple.27.21-23,benthic,1.0972972972973,NA,3459,1387,0.37,0.406,2019,2019,2.14540540540541,11907,5550,RED
ple.27.24-32,benthic,NA,2355,1644,711,NA,0.541,2019,2018,NA,3.038,NA,GREY
sol.27.20-24,benthic,1.00869565217391,NA,434,NA,0.23,0.232,2019,2019,1.07769230769231,2802,2600,RED
tur.27.22-32,benthic,NA,322,264,57,NA,NA,NA,NA,NA,NA,NA,GREY
